Authors,Author(s) ID,Link
"Boccaletti S., De Lellis P., del Genio C.I., Alfaro-Bittner K., Criado R., Jalan S., Romance M.","7006291912;58087228300;26657868400;57197750536;6603726429;56152342900;15731654400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85154063827&doi=10.1016%2fj.physrep.2023.04.002&partnerID=40&md5=3e09650d48b5eaf527f3de03f9de7186"
"Jiang Z.-Q., Wang P., Ma J.-C., Zhu P., Han Z., Podobnik B., Stanley H.E., Zhou W.-X., Alfaro-Bittner K., Boccaletti S.","58127714600;57216687294;57212266973;56116029500;57373909200;7004220065;58127531200;7404516227;57197750536;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149360711&doi=10.1016%2fj.chaos.2023.113276&partnerID=40&md5=b3ac550aa85bcb63b50a192d6f2024d1"
"Bayani A., Jafari S., Azarnoush H., Nazarimehr F., Boccaletti S., Perc M.","57192838846;55196116900;35085758700;56568440700;7006291912;6505878570;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148322615&doi=10.1016%2fj.chaos.2023.113243&partnerID=40&md5=2203b2fa74b05ec4f99eeda712140aa5"
"Meena C., Hens C., Acharyya S., Haber S., Boccaletti S., Barzel B.","57190980120;37065998300;57225830190;57219692614;7006291912;16177460500;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153378578&doi=10.1038%2fs41567-023-02020-8&partnerID=40&md5=8be6e8d485038d7832bb8d23e62243ee"
"Zhang X., Ruan Z., Zheng M., Zhou J., Boccaletti S., Barzel B.","55802361800;55372549700;56454703700;57220580664;7006291912;16177460500;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140218590&doi=10.1038%2fs41467-022-34027-9&partnerID=40&md5=cc1d1c57cb61e91fe63543bdbc09e7e9"
"del Genio C.I., Faci-Lázaro S., Gómez-Gardeñes J., Boccaletti S.","26657868400;57210886835;55900842100;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130260144&doi=10.1038%2fs42005-022-00897-0&partnerID=40&md5=e7b4c7ddd3eeb379de88499acab4033d"
"Lahav N., Sendiña-Nadal I., Hens C., Ksherim B., Barzel B., Cohen R., Boccaletti S.","57190874030;6602499111;37065998300;23482063600;16177460500;57205615349;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124680205&doi=10.1038%2fs41598-022-06262-z&partnerID=40&md5=641ce82340d59bd08b67862137a4cd5c"
"Yang J., Primo E., Aleja D., Criado R., Boccaletti S., Alfaro-Bittner K.","57849316100;57194448531;56215321800;6603726429;7006291912;57197750536;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136187001&doi=10.1016%2fj.chaos.2022.112448&partnerID=40&md5=18e2e004d42e160bb1f78075f4b05273"
"Kovalenko K., Romance M., Vasilyeva E., Aleja D., Criado R., Musatov D., Raigorodskii A.M., Flores J., Samoylenko I., Alfaro-Bittner K., Perc M., Boccaletti S.","57219750789;15731654400;57221726568;56215321800;6603726429;36786813600;6603605028;10140124600;57706476100;57197750536;6505878570;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134160960&doi=10.1016%2fj.chaos.2022.112397&partnerID=40&md5=005e7c17aaf99407d8ad949839247527"
"Aleja D., Contreras-Aso G., Alfaro-Bittner K., Primo E., Criado R., Romance M., Boccaletti S.","56215321800;57712957100;57197750536;57194448531;6603726429;15731654400;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133175520&doi=10.1016%2fj.chaos.2022.112310&partnerID=40&md5=877a8834f1271ec93890edcfe39d7d40"
"Wu T., Huo S., Alfaro-Bittner K., Boccaletti S., Liu Z.","57638488500;57205703710;57197750536;7006291912;8579798700;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135965424&doi=10.1103%2fPhysRevResearch.4.033009&partnerID=40&md5=248edfb4b50da8b39abe29e1ba1c5af0"
"Ghosh D., Frasca M., Rizzo A., Majhi S., Rakshit S., Alfaro-Bittner K., Boccaletti S.","56225913500;7006655104;7202135907;57144015200;57193844653;57197750536;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123245091&doi=10.1016%2fj.physrep.2021.10.006&partnerID=40&md5=5af712af5616bef6c9046fd745d0b4ab"
"Jusup M., Holme P., Kanazawa K., Takayasu M., Romić I., Wang Z., Geček S., Lipić T., Podobnik B., Wang L., Luo W., Klanjšček T., Fan J., Boccaletti S., Perc M.","15136099300;7003326827;55233902200;8725869700;57197866334;57192377511;15744135000;42961793000;7004220065;57033052400;57217446725;56023991300;55246604300;7006291912;6505878570;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122688074&doi=10.1016%2fj.physrep.2021.10.005&partnerID=40&md5=392bad40ec6914493656fe231f3a01b5"
